date, pm25, pm10, o3
2020/2/19, 24, , 
2020/2/20, 26, , 
2020/2/21, 35, , 
2020/2/22, 28, , 
2020/2/23, 18, , 
2020/2/24, 17, , 
2020/2/25, 19, , 
2020/2/26, 20, , 
2020/2/27, 20, , 
2020/2/28, 22, , 
2020/2/29, 10, , 
2020/3/1, 14, , 
2020/3/2, 13, , 
2020/3/3, 11, , 
2020/3/4, 14, , 
2020/3/5, 20, , 
2020/3/6, 13, , 
2020/3/7, 11, , 
2020/3/8, 14, , 
2020/3/9, 15, , 
2020/3/10, 16, , 
2020/3/11, 12, , 
2020/3/12, 16, , 
2020/3/13, 17, , 
2020/3/14, 18, , 
2020/3/15, 20, , 
2020/3/16, 26, , 
2020/3/17, 29, , 
2020/3/18, 26, , 
2020/3/19, 26, , 
2020/3/20, 27, , 
2020/3/21, 18, , 
2020/3/22, 23, , 
2020/3/23, 13, , 
2020/3/24, 15, , 
2020/3/25, 12, , 
2020/3/26, 15, , 
2020/3/27, 17, , 
2020/3/28, 15, , 
2019/10/1, 21, , 
2019/10/2, 30, , 
2019/10/3, 32, , 
2019/10/4, 22, , 
2019/10/5, 20, , 
2019/10/9, 21, , 
2019/10/10, 25, , 
2019/10/11, 35, , 
2019/10/12, 51, , 
2019/10/13, 43, , 
